scenario,ind_id,cum_growth_2035_pct
S3,MFG_TEX,-1.69
S3,MFG_TOB,26.8
S3,MFG_WOOD,1.65
S3,MIN_COAL,-26.77
S3,MIN_MET,-27.58
S3,MIN_NONMET,-26.78
S3,PER_ASSOC,14.59
S3,PER_OTH,14.46
S3,PER_REP,14.24
S3,PRO_ENG,38.82
S3,PRO_ETC,38.82
S3,PRO_PRO,38.83
S3,PRO_RND,38.9
S3,PUB,35.95
S3,RE,28.87
S3,TRN_AIR,48.18
S3,TRN_LAND,49.53
S3,TRN_SEA,47.89
S3,TRN_WARE,55.64
S3,UTL_SEW,23.99
S3,UTL_WASTE,25.84
S3,UTL_WATER,25.49
S4,ACF_FOOD,5.82
S4,ACF_LODGE,3.89
S4,AGR,3.37
S4,ART_CRE,41.91
S4,ART_SPO,38.15
S4,BUS_FAC,48.94
S4,BUS_RENT,48.47
S4,BUS_SUP,50.81
S4,CON,4.53
S4,EDU,28.48
S4,E_AI,-31.42
S4,E_BATT,47.02
S4,E_BIO,35.94
S4,E_CONT,16.82
S4,E_HEALTH,75.72
S4,E_PLAT,77.38
S4,E_RENEW,58.82
S4,E_SEMI,160.76
S4,FIN_AUX,76.38
S4,FIN_BANK,90.77
S4,FIN_INS,84.36
S4,HW_WELF,71.93
S4,H_CHEM,31.72
S4,H_ELEC,160.76
S4,H_ELECEQ,47.02
S4,H_HEALTH,75.72
S4,H_INFOSVC,728.29
S4,H_MEDIA,159.65
S4,H_RETAIL,18.13
S4,H_UTIL,58.82
S4,ICT_TEL,81.87
S4,MFG_APP,0.27
S4,MFG_AUTO,55.53
S4,MFG_BEV,29.19
S4,MFG_COKE,20.4
S4,MFG_FOOD,31.26
S4,MFG_FURN,13.51
S4,MFG_LEATHER,-0.53
S4,MFG_MACH,55.71
S4,MFG_METAL,-2.08
S4,MFG_NONMET,1.58
S4,MFG_OTH,11.64
S4,MFG_OTRANS,52.28
S4,MFG_PAPER,2.81
S4,MFG_PREC,164.58
S4,MFG_PRINT,1.55
S4,MFG_REP,11.88
S4,MFG_STEEL,-2.44
S4,MFG_TEX,-1.6
S4,MFG_TOB,26.35
S4,MFG_WOOD,1.88
S4,MIN_COAL,-26.64
S4,MIN_MET,-27.31
S4,MIN_NONMET,-26.44
S4,PER_ASSOC,13.78
S4,PER_OTH,13.61
S4,PER_REP,13.4
S4,PRO_ENG,38.45
S4,PRO_ETC,38.53
S4,PRO_PRO,38.56
S4,PRO_RND,38.61
S4,PUB,35.84
S4,RE,28.95
S4,TRN_AIR,47.58
S4,TRN_LAND,49.71
S4,TRN_SEA,47.6
S4,TRN_WARE,55.7
S4,UTL_SEW,24.42
S4,UTL_WASTE,26.27
S4,UTL_WATER,26.0
S5,ACF_FOOD,1.23
S5,ACF_LODGE,1.13
S5,AGR,4.5
S5,ART_CRE,43.61
S5,ART_SPO,40.81
S5,BUS_FAC,51.61
S5,BUS_RENT,51.18
S5,BUS_SUP,52.0
S5,CON,2.53
S5,EDU,27.69
S5,E_AI,-30.09
S5,E_BATT,46.74
S5,E_BIO,35.62
S5,E_CONT,37.98
S5,E_HEALTH,74.75
S5,E_PLAT,101.54
S5,E_RENEW,58.67
S5,E_SEMI,158.51
S5,FIN_AUX,80.63
S5,FIN_BANK,95.11
S5,FIN_INS,90.79
S5,HW_WELF,72.25
S5,H_CHEM,27.74
S5,H_ELEC,158.51
S5,H_ELECEQ,46.74
S5,H_HEALTH,74.75
S5,H_INFOSVC,698.42
S5,H_MEDIA,96.02
S5,H_RETAIL,16.37
S5,H_UTIL,58.67
S5,ICT_TEL,78.41
S5,MFG_APP,3.71
S5,MFG_AUTO,50.25
S5,MFG_BEV,31.61
S5,MFG_COKE,-1.83
S5,MFG_FOOD,30.95
S5,MFG_FURN,16.4
S5,MFG_LEATHER,2.47
S5,MFG_MACH,56.54
S5,MFG_METAL,-0.54
S5,MFG_NONMET,-0.67
S5,MFG_OTH,15.15
S5,MFG_OTRANS,47.11
S5,MFG_PAPER,0.94
S5,MFG_PREC,163.35
S5,MFG_PRINT,0.78
S5,MFG_REP,15.61
S5,MFG_STEEL,-6.23
S5,MFG_TEX,1.89
S5,MFG_TOB,29.05
S5,MFG_WOOD,1.33
S5,MIN_COAL,-27.64
S5,MIN_MET,-28.82
S5,MIN_NONMET,-27.97
S5,PER_ASSOC,14.65
S5,PER_OTH,14.52
S5,PER_REP,14.27
S5,PRO_ENG,38.25
S5,PRO_ETC,38.16
S5,PRO_PRO,38.07
S5,PRO_RND,38.24
S5,PUB,35.92
S5,RE,28.81
S5,TRN_AIR,48.24
S5,TRN_LAND,49.01
S5,TRN_SEA,48.86
S5,TRN_WARE,56.95
S5,UTL_SEW,23.93
S5,UTL_WASTE,26.19
S5,UTL_WATER,25.62
