,ACF_FOOD,ACF_LODGE,AGR,ART_CRE,ART_SPO,BUS_FAC,BUS_RENT,BUS_SUP,CON,EDU,E_AI,E_BATT,E_BIO,E_CONT,E_HEALTH,E_PLAT,E_RENEW,E_SEMI,FIN_AUX,FIN_BANK,FIN_INS,HW_WELF,H_CHEM,H_ELEC,H_ELECEQ,H_HEALTH,H_INFOSVC,H_MEDIA,H_RETAIL,H_UTIL,ICT_TEL,MFG_APP,MFG_AUTO,MFG_BEV,MFG_COKE,MFG_FOOD,MFG_FURN,MFG_LEATHER,MFG_MACH,MFG_METAL,MFG_NONMET,MFG_OTH,MFG_OTRANS,MFG_PAPER,MFG_PREC,MFG_PRINT,MFG_REP,MFG_STEEL,MFG_TEX,MFG_TOB,MFG_WOOD,MIN_COAL,MIN_MET,MIN_NONMET,PER_ASSOC,PER_OTH,PER_REP,PRO_ENG,PRO_ETC,PRO_PRO,PRO_RND,PUB,RE,TRN_AIR,TRN_LAND,TRN_SEA,TRN_WARE,UTL_SEW,UTL_WASTE,UTL_WATER
ACF_FOOD,3.9426757240209422,2.4598049984908212,0.033706761774029315,1.0497865831689495,0.46951335619700396,0.19079248663924314,0.054021678107033996,0.45780119793899365,0.09772969733460231,0.0694969253870122,2.2788111488250213,-0.0651464161907551,0.10728458434700676,3.0924788210256327,-0.213403786940365,-0.3848539844012584,0.016532938580369357,-0.3656037305259599,-0.22715731704261036,0.18675045996199435,0.14004072900077763,-0.33434656964927684,-0.06446197636999668,-0.3656037305259599,-0.06514641619075821,-0.21340378694035386,-0.7351905050684846,-1.0572811473721544,0.3625445503007091,0.016532938580376366,0.5413273018349097,-0.12011430254216714,-0.23204133440678368,0.14296410565228296,1.2333251845638222,0.33159613543240063,0.09778249430290692,-0.15569624578142074,0.28449460730195114,0.100260277087268,-0.004252679056105747,0.024607986444023965,-0.16210544797410906,0.1884007016522923,0.15770189096222834,0.3068484671529565,-0.03357669621885024,0.3329103094147976,-0.04698013077658741,-0.02055001527933706,0.09869640646189534,-0.014465622410400013,0.017890344710867725,0.06411329624362225,0.25986226591807626,0.22820382990226967,0.2551247246335657,-0.07403897793083271,0.002699048628900708,-0.014858603501474313,0.02577371990708138,-0.012666724028418595,0.16905757119091824,0.5567927687818298,0.5904420186909086,0.2779703981883099,0.6876872135826648,0.21825695664514067,0.07578057078094949,0.05967868971642168
ACF_LODGE,2.4598049984908212,2.0539582616127627,0.02369660732201059,0.7269835767338387,0.42725885207821135,0.07491801827267631,0.05827658844055203,0.1856367015113044,0.09968745050194197,0.06043248121546186,0.9833447005125263,-0.019828241486268678,-0.16853927650492637,1.6045815502221563,-0.21367495776911932,-0.16167723387339886,-0.062950035160287,-0.23582786580826157,-0.09831682898883932,0.060458133720177415,0.013461513621969819,-0.1354662617382005,-0.13846890987308125,-0.23582786580826157,-0.019828241486268286,-0.2136749577691106,-0.4697708960591836,-0.2850795137090206,0.231560723168898,-0.06295003516027854,0.271033560866907,-0.09347531238952952,-0.21566951348330343,0.12188489662965568,1.2095622447388175,0.21426805116223113,0.008448931831593136,-0.19114808584983606,0.07765738377177689,0.07890471732608234,-0.03464802111319333,-0.0035223547561342057,-0.11411636123999816,0.11312611500159254,0.046964377306298426,0.16470564272687016,-0.040779897171317955,0.11504239764369349,-0.11651163138811893,0.0103560007539279,0.08054525934066441,0.025068966099500982,0.055432830653252024,0.07720038586710497,0.22468084133825011,0.21810879811982445,0.22766885853679814,-0.003975695284348853,0.020215134046984433,0.01857580000952665,0.029699531440806188,-0.00799503602834931,0.07359781054000705,0.43716626454962226,0.3059262664343907,0.1871661259707999,0.4801278138206359,0.13393256970500628,0.08766798754923034,0.0681385407588276
AGR,0.033706761774029315,0.02369660732201059,0.9125675373633372,0.1272402254153717,0.06335138990533687,0.05311224421709901,0.018643349475263263,0.05844766634140063,0.025249365165677894,-0.010028945218139119,1.021144003279535,-0.02934159730578274,-0.32219887288417987,-0.14283715925854223,0.04361917616015442,0.0889031883521202,-0.029166953609466115,0.03842369316702655,0.0007461195348366503,0.03274655463459532,0.01891284552714389,-0.024698958387801194,0.06640280516186875,0.03842369316702655,-0.029341597305784884,0.04361917616015491,0.2700872273727329,-0.2900009706443335,0.05003750130132964,-0.02916695360946657,-0.05477249199068034,0.023539814004616237,-0.15337092260377258,0.013145836198405434,-0.006539476278274429,0.0431515816809031,0.02496651945077941,0.03730737314557026,-0.10712641682905938,0.05755267251449443,-0.012245379760147033,0.028595683082310155,-0.14610906221942985,-0.05137075176431233,0.04297555102652974,-0.040919159315026536,0.035620486631585034,0.04334753614773957,0.03342240301788536,-0.006517485730763792,-0.06048277642050889,0.026665094739696832,0.018472189433528165,0.020893725734905534,-0.057242308890296766,-0.060915196458456305,-0.057521640342270156,0.02514016878988306,0.032731340470405615,0.030996372668168407,0.034659417252387754,0.010909794505649661,-0.06446302300335416,0.04261904292291135,0.0656716174669793,-0.003569018769137517,0.07057848386151179,-0.0032191853220919606,0.006081691439254462,0.0049299410135097595
ART_CRE,1.0497865831689495,0.7269835767338387,0.1272402254153717,1.5460784031574335,1.0275641220558749,0.22530489636293682,0.18779649115096622,0.2653191270628355,0.027091172154777222,0.048226289992181204,3.4333008779511394,0.050078671836113,0.542195690280186,1.1959524682629374,-0.09346987545157188,-0.11366472136197785,-0.10908713069632944,-0.20332579325093197,-0.17125627745048944,0.07030297138479374,0.09949871136259322,-0.06089069761951697,0.019636770143830234,-0.20332579325093197,0.05007867183611662,-0.09346987545156851,-3.1882910060939333,-0.7645817111531151,0.10368246386470295,-0.10908713069632864,0.04351799916211841,0.07074112370783828,0.31405549478315115,-0.02901884746321057,0.8917176186504362,-0.018202836707889317,0.03757996244195829,0.013313770433995935,0.14472066888345633,0.03676859793081676,0.07288540304295592,0.05898198087971536,0.3130705591169905,-0.001514561540532812,-0.09509402325314294,0.14088149386747287,0.06764191572769072,0.017253858377116942,0.07195411798426464,-0.07986378862869914,0.07385935147473431,0.007425181000405876,0.08688960500837865,0.09141862935993883,0.1530124985771457,0.12877924874682126,0.13648878850035404,0.05109968818125539,0.086718920349243,0.08674497389484175,0.09947952177029282,0.004117860141108611,0.030720884551992608,0.21626393371351862,0.16643609921511965,0.13659465615141292,0.2926905651984093,-0.06873976981373756,-0.10579493452884875,-0.10514716255010408
ART_SPO,0.46951335619700396,0.42725885207821135,0.06335138990533687,1.0275641220558749,1.0425118947622833,0.08461422023749368,0.1374834830552896,0.13700065362654715,0.02147095665138539,0.024574680292638384,0.7231711343191858,0.09877394240063637,0.212235119503488,0.7349695720543024,0.03955323052457272,0.13050371829337643,-0.08929753350563921,-0.05057675465588157,-0.0804576681985579,-0.005026944446826014,-0.030314886789824403,-0.03546043646339149,0.062175707759280816,-0.05057675465588157,0.09877394240063656,0.03955323052457649,-1.1204765251170228,-0.9075473486765037,0.07297057254524507,-0.08929753350563946,-0.057023535540554685,0.05290284315096136,0.39615572121522563,0.03848590798365243,0.8894602116121514,0.04955736706752659,-0.021966135452143275,0.01587844159720755,0.06908076207249109,0.010023729231289715,0.11776189945748647,-0.001028425093877631,0.3568406531213263,0.08771335041543168,-0.05347089484639956,0.09203632624082334,0.012424454337958765,0.11891768016696933,0.07610039356394668,0.03950249070372041,0.09746192115930469,-0.022141237318949944,0.058084487330962255,0.061217441281181964,0.12515166138515477,0.1247679383979098,0.12428012411455919,0.07228504973442065,0.07223050831925962,0.06901594153897538,0.07501229212751759,0.003521223758278693,-0.0033361613406388585,0.12702372953202068,0.12158860000939677,0.0850380304056716,0.14346192851068637,-0.10406795756251289,-0.13034942530122234,-0.12865841499900352
BUS_FAC,0.19079248663924314,0.07491801827267631,0.05311224421709901,0.22530489636293682,0.08461422023749368,0.6960843003864846,0.6170369988791125,0.6786392382629619,-0.04137621497312005,0.015642240448668816,1.8750064427641862,-0.09580190289263932,0.1601729881394781,-0.14720360597645393,0.24641155286986932,-0.37262067336094,-0.04463226800725946,-0.289386188855244,-0.3071116546136614,-0.050475392815509564,-0.1030218761067663,0.1171088308335305,-0.11088458638989437,-0.289386188855244,-0.09580190289264108,0.24641155286986935,-1.4254356836871123,0.7772305377423353,0.04850893198916195,-0.044632268007260015,0.04182929139674205,-0.09552662778877406,-0.1645715287770785,-0.12551124807804312,-0.0301766334864623,-0.1682024807696923,0.06271037760198502,-0.10700861551190412,-0.02234797490701269,0.06920517640442843,0.07131196185239398,0.05866923617453621,-0.1983475221195922,-0.1449144293631202,-0.11799541772255247,-0.0157746920553325,0.049992484239334965,-0.07991083575152405,-0.06917908861365389,-0.14520879331334036,-0.0636112357422883,0.18977197045952973,0.16062334770043513,0.16820118688090793,0.022622247430591495,0.0033988485403974597,0.0058238213474286,0.020402092527069676,0.052447744359169116,0.05003866460359197,0.05996057927964986,-0.0064924074220820424,0.008433836688840634,0.02415814320752224,0.05257294069223095,-0.11167894745630083,0.07213551619644477,0.11427407982493214,0.10903504832372433,0.08694272587083111
BUS_RENT,0.054021678107033996,0.05827658844055203,0.018643349475263263,0.18779649115096622,0.1374834830552896,0.6170369988791125,0.8757324395869731,0.682770654476402,-0.04651891641181156,0.026593417417786782,1.4211666937277228,-0.0509214857184203,-0.013505356976479073,-0.5998509047024401,0.19898554722812692,-0.3009112276156113,-0.05045697687229559,-0.23165827180464435,-0.20403631995189547,-0.07136929663532302,-0.11918417326118215,0.18349811596110768,-0.06398118571356937,-0.23165827180464435,-0.05092148571842161,0.19898554722812772,-4.241957345030834,1.1688165269101343,0.045676078455749614,-0.050456976872294126,0.07965494974866051,-0.08300081463483878,-0.07549088084811977,-0.15108195273539374,-0.004380282999577489,-0.16228482505982358,0.03259194130386682,-0.09047465734382658,-0.025463782900252457,0.04889022224272699,0.07177268408168924,0.019188905416798168,-0.12092052476051078,-0.14556620911984866,-0.07905822112932209,-0.029721094550209944,0.017536900742203185,-0.02426364291262973,-0.07550827423134092,-0.12219255793076514,-0.043515248851931004,0.19755504473776647,0.174326368804623,0.1792084384859295,0.02183865648608633,0.010403403560532208,0.012893418280702099,0.03385645092393667,0.05467696125049179,0.0518855260185178,0.05849231663509101,-0.005785211467577945,-0.011977885617715962,0.06788088978396209,0.09467523976191644,-0.06314285734445454,0.05807706718678455,0.12930871766641322,0.10716651269790195,0.09776329625613304
BUS_SUP,0.45780119793899365,0.1856367015113044,0.05844766634140063,0.2653191270628355,0.13700065362654715,0.6786392382629619,0.682770654476402,1.1733596512571711,-0.052293377372269426,0.006065440669506859,1.2284385469884176,-0.14071058346782078,0.16414418683126175,-0.2685697455045504,0.25692785104073507,-0.38395433128649453,-0.018995554759504634,-0.45073979732165587,-0.2742893631090739,0.060714581168855974,-0.09249409590954391,0.211508181196391,-0.08193374160148452,-0.45073979732165587,-0.14071058346782267,0.25692785104073396,2.0984999456966804,1.1351578243071074,0.10044820934307329,-0.01899555475950614,0.19844895815628746,-0.08160968200295657,-0.17642027134689828,-0.1725794381009593,-0.03968472066666761,-0.17181407666495624,0.10274375537985368,-0.06779024691701467,0.03472165475230695,0.09360863532023174,0.08051187964427363,0.07161027133223935,-0.29748835243842,-0.12471269603521067,-0.11488061350510827,0.022358676101021338,0.059713559768551736,0.03292353703555149,-0.03887225276815261,-0.20421743123017816,-0.05078540989437522,0.17016959908535345,0.1578770609029366,0.18045654158467,0.014869973007558875,-0.015044548274917807,-0.010600046164258975,-0.014721697505571845,0.041288881827785916,0.030923214688956074,0.049310773062701395,-0.005616264637689199,0.039333847152741803,0.005338078351510771,0.12880555581042674,-0.29204937089215527,0.09086442972742509,0.17700864550566603,0.096934091903829,0.059259297897387805
CON,0.09772969733460231,0.09968745050194197,0.025249365165677894,0.027091172154777222,0.02147095665138539,-0.04137621497312005,-0.04651891641181156,-0.052293377372269426,0.605788548763573,0.0063303964672611415,-0.2710275747841707,0.16604839411715688,0.14785864581628844,0.056735798168156694,-0.06772947111750172,0.09405138602146448,0.0722818236356802,-0.15911439910865938,-0.1325320603386809,-0.08209429928548523,-0.07811092662077482,-0.027841667013218822,-0.16305636982290345,-0.15911439910865938,0.1660483941171573,-0.0677294711175023,0.17839267604209874,0.2617248119196881,0.001839448255168149,0.0722818236356813,-0.017129808273777743,-0.01842185562450344,0.040192386437818806,0.06581508946775748,0.07053770967935107,0.049840165402865594,0.04992145021354725,-0.006622430228827673,0.08930105731595984,0.19453935980630813,0.2836282030103249,0.05241889267596832,0.0293606081194643,0.011498401030007923,-0.08033015478659614,0.0283437718184612,0.05037846215721294,-0.02987414048913799,0.0016995049987926234,0.07788513935254336,0.020088071217372206,0.12833412698124608,0.13008782272613356,0.13270253267852197,0.10206253516666917,0.10029561931503322,0.10217826622148607,0.029465197124447035,0.02971528352400242,0.03037664882889609,0.03021361332320576,0.0024960767475581042,0.02867525865227665,-0.07942027486252305,-0.05286099296252545,-0.07502201594604094,-0.08391223243590458,-0.023048350502827313,-0.005474889402358517,-0.007805462666139797
EDU,0.0694969253870122,0.06043248121546186,-0.010028945218139119,0.048226289992181204,0.024574680292638384,0.015642240448668816,0.026593417417786782,0.006065440669506859,0.0063303964672611415,0.07391863863076246,0.41132826553344953,0.019096574729271194,-0.0004742766963763102,0.03405495614948233,0.026068345682981536,-0.07911967980344516,-0.06148975172266965,-0.012093045234269288,0.06547801545300035,0.02594302439688259,0.04338668381736048,0.0206849423760831,-0.006009060762503808,-0.012093045234269288,0.01909657472927236,0.02606834568297949,-0.24118161940310232,-0.06794242711159158,0.03131073156822544,-0.06148975172266876,-0.0024557047428056065,-0.03075584309881545,-0.01614085251800253,-0.002930149106434984,0.372502029279193,0.017142735034709276,-0.021836267752554473,-0.03924776492364867,0.004813658487973174,-0.02335838475828813,-0.013766377747719803,-0.015111573150357256,-0.0066835379024032865,0.007079550472079916,-0.0272768462759352,0.010157832379505053,-0.016904063484639506,-0.06570548864096416,-0.03432922475803258,-0.006682128399887726,0.009545749374261942,0.008949391418679238,0.008802308576719615,0.0072295008973851625,0.03013983660697602,0.028528177692009937,0.02865163803045459,0.001218253419928906,0.00442389727879785,0.004334535989144433,0.004846823360057213,0.004811750615945812,-0.005749647397367976,0.010946445943394272,0.024039402420235962,0.06957259198970404,0.04036745430913913,-0.005684973910965697,-0.004261164286581699,-0.004315000749312617
