scenario,date,point,p5,p15,p50,p85,p95
S4,2030-02-01,116.41,112.46,114.49,118.82,123.47,126.71
S4,2030-03-01,116.85,113.07,115.03,119.17,123.84,127.42
S4,2030-04-01,117.28,113.53,115.52,119.84,124.79,128.31
S4,2030-05-01,117.7,113.79,115.77,120.36,125.34,128.95
S4,2030-06-01,118.15,114.36,116.23,120.6,125.59,129.17
S4,2030-07-01,118.58,114.9,116.84,121.12,126.19,130.45
S4,2030-08-01,119.01,114.77,117.43,121.63,126.63,131.27
S4,2030-09-01,119.47,115.2,117.89,122.21,127.27,131.12
S4,2030-10-01,119.91,115.98,118.3,122.53,127.86,131.91
S4,2030-11-01,120.35,116.5,118.94,123.15,128.6,132.38
S4,2030-12-01,120.8,116.72,119.17,123.39,128.88,132.63
S4,2031-01-01,121.26,117.27,119.67,124.14,129.49,134.5
S4,2031-02-01,121.71,117.68,119.84,124.76,130.28,134.22
S4,2031-03-01,122.17,118.03,120.23,125.3,130.9,134.72
S4,2031-04-01,122.63,118.43,120.9,125.71,131.33,135.69
S4,2031-05-01,123.09,119.06,121.28,126.34,131.81,135.48
S4,2031-06-01,123.55,119.44,121.76,126.81,132.68,136.7
S4,2031-07-01,124.02,120.08,122.12,127.41,133.1,137.4
S4,2031-08-01,124.49,120.26,122.34,127.85,133.62,138.29
S4,2031-09-01,124.97,120.58,123.13,128.64,134.61,138.63
S4,2031-10-01,125.44,121.28,123.58,128.86,135.41,139.56
S4,2031-11-01,125.92,121.58,123.63,129.57,136.07,140.39
S4,2031-12-01,126.4,121.9,124.44,129.98,136.36,140.94
S4,2032-01-01,126.88,122.32,124.72,130.39,137.13,142.02
S4,2032-02-01,127.37,122.74,125.4,130.96,138.08,142.64
S4,2032-03-01,127.86,123.22,125.68,131.51,138.21,143.34
S4,2032-04-01,128.35,123.97,126.27,132.09,138.75,144.38
S4,2032-05-01,128.84,124.25,126.74,132.93,139.65,144.68
S4,2032-06-01,129.34,124.39,127.23,133.42,140.44,145.09
S4,2032-07-01,129.84,125.26,127.87,133.81,141.42,146.02
S4,2032-08-01,130.34,125.67,128.11,134.35,141.69,146.88
S4,2032-09-01,130.85,126.02,128.76,135.26,142.23,147.17
S4,2032-10-01,131.36,126.47,129.51,135.78,143.26,148.07
S4,2032-11-01,131.87,126.92,129.81,136.22,143.9,148.83
S4,2032-12-01,132.38,127.45,130.63,137.08,144.03,149.91
S4,2033-01-01,132.9,128.04,130.82,137.68,144.72,150.02
S4,2033-02-01,133.42,129.2,131.48,138.33,145.5,150.87
S4,2033-03-01,133.94,129.44,132.13,138.89,145.87,151.73
S4,2033-04-01,134.47,130.07,132.39,139.35,147.21,151.8
S4,2033-05-01,135.0,130.41,133.44,140.25,147.8,152.71
S4,2033-06-01,135.53,130.45,133.77,140.58,148.35,153.14
S4,2033-07-01,136.07,131.01,134.62,141.33,149.09,154.26
S4,2033-08-01,136.61,131.54,134.75,141.25,149.96,154.38
S4,2033-09-01,137.15,131.33,135.04,142.1,150.45,156.09
S4,2033-10-01,137.69,132.36,135.75,142.65,151.43,156.42
S4,2033-11-01,138.24,132.49,136.39,143.47,152.23,157.04
S4,2033-12-01,138.79,132.95,136.81,144.01,152.49,157.58
S4,2034-01-01,139.35,133.28,137.43,145.06,153.13,158.68
S4,2034-02-01,139.9,134.2,138.1,145.77,153.93,158.86
S4,2034-03-01,140.46,134.94,138.78,146.01,154.48,160.57
S4,2034-04-01,141.03,135.18,139.27,146.59,155.53,161.39
S4,2034-05-01,141.6,135.39,139.59,147.54,156.31,161.32
S4,2034-06-01,142.17,136.2,139.96,148.07,156.71,163.09
S4,2034-07-01,142.74,137.25,140.93,148.64,157.77,163.99
S4,2034-08-01,143.32,137.18,141.19,149.34,158.36,164.89
S4,2034-09-01,143.9,138.01,141.79,150.0,159.19,166.36
S4,2034-10-01,144.48,138.52,142.58,150.7,159.97,167.09
S4,2034-11-01,145.07,139.05,142.85,151.24,161.19,169.08
S4,2034-12-01,145.66,139.47,143.86,152.01,162.01,169.5
S4,2035-01-01,146.26,139.96,144.36,153.26,162.75,170.48
S4,2035-02-01,146.86,140.41,144.7,153.69,163.18,171.33
S4,2035-03-01,147.46,141.38,145.68,154.39,164.07,172.4
S4,2035-04-01,148.06,141.87,146.01,154.9,164.87,171.87
S4,2035-05-01,148.67,142.37,146.46,155.41,165.58,173.56
S4,2035-06-01,149.29,143.15,147.11,156.07,166.24,174.34
S4,2035-07-01,149.9,143.43,147.72,157.31,167.86,175.56
S4,2035-08-01,150.52,144.63,148.5,157.69,168.34,177.01
S4,2035-09-01,151.15,144.83,148.58,158.13,169.47,177.67
S4,2035-10-01,151.78,145.59,149.31,159.13,170.94,178.59
S4,2035-11-01,152.41,146.21,149.79,159.84,171.58,179.94
S4,2035-12-01,153.04,146.26,150.48,160.51,172.81,180.48
S5,2026-01-01,97.34,96.56,96.89,97.36,97.88,98.15
S5,2026-02-01,97.04,95.99,96.4,97.11,97.76,98.2
S5,2026-03-01,98.4,97.13,97.65,98.52,99.29,99.71
S5,2026-04-01,98.3,96.98,97.5,98.55,99.39,99.95
S5,2026-05-01,98.84,97.32,98.02,99.12,100.14,100.86
S5,2026-06-01,99.59,98.1,98.68,99.82,101.0,101.72
S5,2026-07-01,99.56,97.83,98.61,99.9,101.22,101.91
S5,2026-08-01,99.49,97.69,98.41,99.9,101.21,101.98
S5,2026-09-01,100.23,98.28,99.09,100.53,102.03,102.99
S5,2026-10-01,100.34,98.26,99.14,100.82,102.23,103.1
S5,2026-11-01,100.51,98.28,99.33,101.07,102.58,103.87
S5,2026-12-01,101.37,99.06,100.25,101.88,103.67,104.68
S5,2027-01-01,101.39,99.15,100.15,101.89,103.75,104.7
S5,2027-02-01,101.49,99.31,100.3,102.19,104.09,104.95
S5,2027-03-01,102.15,99.81,100.92,102.9,104.65,105.85
S5,2027-04-01,102.4,100.13,101.08,103.1,105.05,106.14
S5,2027-05-01,102.7,100.22,101.26,103.45,105.87,106.64
S5,2027-06-01,103.26,100.84,101.9,104.1,106.44,107.89
S5,2027-07-01,103.45,100.98,102.13,104.36,106.88,108.15
S5,2027-08-01,103.64,100.82,102.22,104.53,107.2,108.45
S5,2027-09-01,104.17,101.59,102.69,105.15,107.78,109.13
S5,2027-10-01,104.49,101.82,102.89,105.66,108.36,109.58
S5,2027-11-01,104.78,102.3,103.32,105.82,108.68,110.17
S5,2027-12-01,105.27,102.69,103.73,106.42,109.3,110.88
S5,2028-01-01,105.54,102.71,103.99,106.7,109.57,111.24
S5,2028-02-01,105.82,103.14,104.32,106.9,110.09,111.61
S5,2028-03-01,106.31,103.66,104.98,107.5,110.48,112.51
S5,2028-04-01,106.66,103.78,105.25,107.85,111.07,112.69
S5,2028-05-01,106.99,104.29,105.66,108.01,111.38,113.55
S5,2028-06-01,107.44,104.46,105.97,108.71,111.88,113.94
S5,2028-07-01,107.76,104.71,106.36,108.97,112.65,114.14
S5,2028-08-01,108.09,105.18,106.54,109.48,112.84,114.96
S5,2028-09-01,108.54,105.53,106.95,109.9,113.13,115.43
S5,2028-10-01,108.92,105.7,107.31,110.43,113.99,115.99
S5,2028-11-01,109.27,105.96,107.28,110.72,114.51,116.65
S5,2028-12-01,109.7,106.66,107.74,111.31,114.94,117.07
S5,2029-01-01,110.07,106.84,108.16,111.65,115.54,117.78
S5,2029-02-01,110.43,107.06,108.58,112.05,116.11,118.12
S5,2029-03-01,110.88,107.5,108.85,112.59,116.36,118.78
S5,2029-04-01,111.28,107.85,109.57,113.03,116.67,119.61
S5,2029-05-01,111.65,108.13,109.9,113.6,117.4,119.48
S5,2029-06-01,112.08,108.58,110.11,114.1,117.98,120.46
S5,2029-07-01,112.47,108.95,110.38,114.54,118.45,120.92
S5,2029-08-01,112.86,109.24,110.96,114.95,118.77,121.14
S5,2029-09-01,113.3,109.5,111.34,115.45,119.1,122.07
S5,2029-10-01,113.71,109.86,112.08,115.98,120.09,122.15
S5,2029-11-01,114.11,109.93,112.34,116.2,120.54,122.78
S5,2029-12-01,114.54,110.64,112.54,116.77,121.26,123.55
S5,2030-01-01,114.95,111.01,113.08,117.23,121.42,124.4
S5,2030-02-01,115.36,111.38,113.74,117.58,122.08,124.9
S5,2030-03-01,115.8,111.71,114.19,118.15,122.39,125.08
S5,2030-04-01,116.23,112.43,114.43,118.64,123.16,125.91
S5,2030-05-01,116.64,112.56,114.8,118.85,123.34,126.66
S5,2030-06-01,117.08,113.19,115.33,119.48,124.09,127.66
S5,2030-07-01,117.51,113.61,115.89,119.89,124.68,128.31
S5,2030-08-01,117.94,113.6,115.91,120.43,125.58,128.42
S5,2030-09-01,118.39,114.57,116.6,120.61,126.37,128.87
S5,2030-10-01,118.83,114.97,117.45,121.24,126.49,129.65
S5,2030-11-01,119.26,115.28,117.61,121.7,126.85,130.16
S5,2030-12-01,119.71,115.83,117.9,122.5,127.78,131.75
S5,2031-01-01,120.16,116.05,118.38,122.63,128.56,132.35
S5,2031-02-01,120.6,116.48,118.64,123.19,128.61,132.92
S5,2031-03-01,121.06,116.83,119.13,123.93,129.33,133.55
S5,2031-04-01,121.52,117.24,119.57,124.24,129.9,133.37
S5,2031-05-01,121.97,117.77,120.0,124.95,130.44,134.82
S5,2031-06-01,122.43,117.86,120.34,125.42,130.98,135.46
S5,2031-07-01,122.89,118.22,120.83,126.01,131.54,135.32
S5,2031-08-01,123.35,119.08,121.49,126.3,132.18,136.24
S5,2031-09-01,123.83,119.32,121.73,126.73,132.78,137.25
S5,2031-10-01,124.3,119.25,122.3,127.25,133.45,137.32
S5,2031-11-01,124.77,119.88,122.5,127.98,134.34,138.16
S5,2031-12-01,125.24,120.55,123.28,128.6,134.82,139.26
S5,2032-01-01,125.72,121.25,123.42,129.22,135.51,140.69
S5,2032-02-01,126.2,121.74,124.1,129.79,135.78,140.73
S5,2032-03-01,126.69,121.69,124.53,130.5,136.6,141.8
S5,2032-04-01,127.17,122.3,125.02,130.91,137.19,142.62
S5,2032-05-01,127.66,123.18,125.74,131.51,138.26,142.7
S5,2032-06-01,128.15,122.81,125.97,131.99,138.67,144.29
S5,2032-07-01,128.65,123.43,126.72,132.73,139.53,144.93
S5,2032-08-01,129.14,124.58,127.0,133.23,140.08,145.16
S5,2032-09-01,129.64,124.83,127.56,133.84,140.43,145.94
S5,2032-10-01,130.15,125.18,128.32,134.44,140.9,147.11
S5,2032-11-01,130.65,125.98,128.72,135.25,142.31,147.12
S5,2032-12-01,131.16,126.43,129.32,135.78,142.75,147.49
S5,2033-01-01,131.67,126.86,129.68,136.53,143.39,148.4
S5,2033-02-01,132.19,127.1,129.96,137.25,144.72,148.88
S5,2033-03-01,132.71,127.92,130.71,137.55,144.86,149.35
S5,2033-04-01,133.23,128.27,131.31,138.33,145.5,150.03
S5,2033-05-01,133.75,128.33,132.09,138.55,146.56,151.26
S5,2033-06-01,134.28,129.22,132.6,139.04,147.6,151.74
S5,2033-07-01,134.81,129.73,133.11,139.52,147.19,152.87
S5,2033-08-01,135.34,129.97,133.45,140.35,148.69,153.12
S5,2033-09-01,135.87,130.28,133.83,140.83,148.81,153.96
S5,2033-10-01,136.41,130.9,134.52,141.61,149.62,155.22
S5,2033-11-01,136.96,131.6,135.08,142.04,150.99,156.01
S5,2033-12-01,137.5,131.81,135.49,142.41,151.58,156.33
S5,2034-01-01,138.05,132.65,135.83,142.97,152.06,156.97
S5,2034-02-01,138.6,132.93,136.88,143.73,152.81,158.52
S5,2034-03-01,139.15,133.42,137.53,144.49,153.34,158.7
S5,2034-04-01,139.71,134.04,138.14,145.24,154.27,159.86
S5,2034-05-01,140.27,134.58,138.72,145.5,155.28,160.36
S5,2034-06-01,140.84,134.64,139.47,146.27,155.92,161.09
S5,2034-07-01,141.41,135.11,140.07,146.83,156.57,162.07
S5,2034-08-01,141.98,136.32,140.38,147.71,157.28,163.31
S5,2034-09-01,142.55,136.23,140.92,148.17,158.8,164.33
S5,2034-10-01,143.13,137.14,141.62,148.89,159.07,165.02
S5,2034-11-01,143.71,136.96,142.31,149.38,159.84,166.76
S5,2034-12-01,144.3,137.33,142.39,150.15,160.4,167.03
S5,2035-01-01,144.88,138.66,143.11,150.88,160.55,168.07
S5,2035-02-01,145.48,138.58,144.07,151.16,161.76,168.4
S5,2035-03-01,146.07,139.63,144.56,151.97,161.84,169.03
S5,2035-04-01,146.67,140.06,144.73,152.68,162.59,170.14
S5,2035-05-01,147.27,140.74,145.78,152.97,163.86,170.75
S5,2035-06-01,147.88,141.14,146.25,153.79,164.2,173.23
S5,2035-07-01,148.49,141.58,146.99,154.96,165.25,173.07
S5,2035-08-01,149.1,142.27,147.53,155.34,165.9,173.22
S5,2035-09-01,149.72,142.47,148.11,156.02,167.01,174.38
S5,2035-10-01,150.34,143.52,148.7,157.23,168.16,175.07
S5,2035-11-01,150.97,144.34,149.25,157.53,168.21,176.62
S5,2035-12-01,151.6,144.33,149.98,158.54,169.05,177.22
