scenario,date,point,p5,p15,p50,p85,p95
S1,2032-10-01,130.77,125.52,128.8,134.96,143.38,147.42
S1,2032-11-01,131.28,126.11,129.1,135.66,143.96,148.96
S1,2032-12-01,131.79,126.55,129.66,136.68,144.72,148.84
S1,2033-01-01,132.3,126.73,130.44,136.99,145.39,149.48
S1,2033-02-01,132.82,127.52,131.02,137.66,146.36,150.95
S1,2033-03-01,133.34,127.94,131.35,138.14,146.69,151.53
S1,2033-04-01,133.86,128.62,131.8,138.65,147.32,152.61
S1,2033-05-01,134.39,129.16,132.41,139.13,148.0,153.09
S1,2033-06-01,134.92,130.06,133.14,139.95,148.84,153.92
S1,2033-07-01,135.45,129.76,133.88,140.73,149.99,154.72
S1,2033-08-01,135.99,130.51,134.61,141.09,150.31,155.29
S1,2033-09-01,136.53,131.06,134.8,141.67,150.51,156.64
S1,2033-10-01,137.07,131.64,135.45,142.69,151.73,157.16
S1,2033-11-01,137.61,131.78,136.33,143.1,152.47,157.61
S1,2033-12-01,138.16,132.98,136.73,143.89,152.94,158.66
S1,2034-01-01,138.71,133.68,137.32,144.35,154.22,159.48
S1,2034-02-01,139.27,134.0,137.24,144.7,154.57,160.8
S1,2034-03-01,139.82,134.15,138.04,145.75,155.88,161.62
S1,2034-04-01,140.39,134.48,139.16,146.34,156.42,162.46
S1,2034-05-01,140.95,135.14,139.49,147.0,158.02,162.53
S1,2034-06-01,141.52,135.39,139.64,147.76,158.1,164.7
S1,2034-07-01,142.09,135.9,140.43,148.32,158.78,164.36
S1,2034-08-01,142.66,136.34,140.43,148.94,159.38,165.64
S1,2034-09-01,143.24,137.52,141.13,149.95,159.7,167.55
S1,2034-10-01,143.82,138.16,142.08,150.68,161.18,168.67
S1,2034-11-01,144.41,138.08,142.45,151.1,162.26,168.87
S1,2034-12-01,144.99,138.23,142.55,151.85,163.18,169.14
S1,2035-01-01,145.59,139.08,143.23,152.5,163.99,170.54
S1,2035-02-01,146.18,139.26,143.71,153.27,164.1,171.79
S1,2035-03-01,146.78,140.24,144.63,153.97,165.53,173.63
S1,2035-04-01,147.38,140.43,145.1,154.42,166.21,173.6
S1,2035-05-01,147.99,141.44,145.83,155.3,167.27,175.07
S1,2035-06-01,148.6,141.66,146.33,155.77,168.08,175.58
S1,2035-07-01,149.21,142.74,147.27,156.83,169.2,176.7
S1,2035-08-01,149.83,142.51,148.03,157.19,169.32,178.38
S1,2035-09-01,150.45,143.4,149.01,157.64,170.4,177.36
S1,2035-10-01,151.07,143.52,149.81,159.42,171.01,179.94
S1,2035-11-01,151.7,144.06,149.81,159.39,172.32,180.37
S1,2035-12-01,152.33,144.72,150.61,160.69,173.27,182.14
S2,2026-01-01,97.35,96.65,96.96,97.46,97.9,98.15
S2,2026-02-01,97.04,96.04,96.44,97.14,97.81,98.2
S2,2026-03-01,98.39,97.22,97.69,98.5,99.33,99.89
S2,2026-04-01,98.28,97.06,97.68,98.55,99.46,100.02
S2,2026-05-01,98.82,97.32,98.08,99.18,100.33,100.97
S2,2026-06-01,99.55,98.12,98.73,99.94,101.18,101.81
S2,2026-07-01,99.51,98.04,98.67,99.8,101.27,102.18
S2,2026-08-01,99.43,97.78,98.4,99.89,101.31,102.02
S2,2026-09-01,100.16,98.33,99.11,100.5,102.14,102.76
S2,2026-10-01,100.26,98.44,99.19,100.78,102.34,103.3
S2,2026-11-01,100.42,98.39,99.33,100.86,102.61,103.4
S2,2026-12-01,101.27,99.31,100.08,101.6,103.6,104.46
S2,2027-01-01,101.28,99.16,100.14,101.92,103.67,104.81
S2,2027-02-01,101.37,99.23,100.15,101.98,103.78,104.96
S2,2027-03-01,102.02,100.03,100.92,102.64,104.56,105.67
S2,2027-04-01,102.27,100.1,101.08,103.01,104.97,106.3
S2,2027-05-01,102.56,100.32,101.39,103.4,105.33,106.92
S2,2027-06-01,103.1,100.82,101.79,103.92,106.09,107.27
S2,2027-07-01,103.29,101.02,102.11,104.19,106.38,107.77
S2,2027-08-01,103.47,101.12,102.3,104.29,106.83,108.23
S2,2027-09-01,104.0,101.46,102.59,104.81,107.63,108.99
S2,2027-10-01,104.31,101.87,103.08,105.12,108.08,109.57
S2,2027-11-01,104.59,101.9,103.23,105.44,108.42,109.75
S2,2027-12-01,105.08,102.44,103.61,106.17,108.84,110.56
S2,2028-01-01,105.34,102.74,103.94,106.59,109.48,110.85
S2,2028-02-01,105.61,102.88,104.21,107.08,109.86,111.56
S2,2028-03-01,106.1,103.19,104.87,107.67,110.53,112.28
S2,2028-04-01,106.45,103.54,105.05,107.94,111.08,113.1
S2,2028-05-01,106.77,103.94,105.35,108.22,111.34,113.18
S2,2028-06-01,107.21,104.34,105.83,108.8,111.97,113.35
S2,2028-07-01,107.53,104.24,106.11,108.99,112.38,114.12
S2,2028-08-01,107.85,104.66,106.38,109.52,112.9,114.95
S2,2028-09-01,108.3,105.02,106.64,110.09,113.43,115.57
S2,2028-10-01,108.68,105.46,107.2,110.59,113.95,116.16
S2,2028-11-01,109.03,105.6,107.34,110.91,114.34,116.44
S2,2028-12-01,109.45,106.03,107.62,111.36,115.04,117.32
S2,2029-01-01,109.82,106.25,107.96,111.6,115.57,117.89
S2,2029-02-01,110.18,106.38,108.26,112.29,115.62,118.05
S2,2029-03-01,110.62,106.78,108.83,112.57,116.21,118.81
S2,2029-04-01,111.02,107.3,109.25,112.99,116.87,119.22
S2,2029-05-01,111.39,107.43,109.61,113.61,117.21,120.11
S2,2029-06-01,111.82,107.57,109.99,114.22,117.78,120.66
S2,2029-07-01,112.21,108.21,110.48,114.74,118.17,121.74
S2,2029-08-01,112.6,108.71,110.71,115.11,118.71,121.64
S2,2029-09-01,113.03,108.59,111.01,115.62,119.61,122.52
S2,2029-10-01,113.44,108.97,111.5,115.9,119.88,122.98
S2,2029-11-01,113.84,109.91,112.02,116.34,120.4,123.19
S2,2029-12-01,114.27,110.02,112.33,116.91,120.99,124.25
S2,2030-01-01,114.68,110.42,112.6,117.11,121.65,125.04
S2,2030-02-01,115.09,110.68,113.16,117.31,121.96,125.02
S2,2030-03-01,115.52,111.29,113.59,118.04,122.94,125.76
S2,2030-04-01,115.95,111.8,113.98,118.66,123.53,125.91
S2,2030-05-01,116.36,111.91,114.27,118.95,123.95,126.68
S2,2030-06-01,116.8,112.25,114.86,119.44,124.66,127.58
S2,2030-07-01,117.23,112.51,115.4,120.07,125.12,127.86
S2,2030-08-01,117.66,112.95,115.86,120.48,125.6,128.54
S2,2030-09-01,118.1,113.7,116.09,120.93,126.31,129.38
S2,2030-10-01,118.54,114.57,116.87,121.23,126.83,129.71
S2,2030-11-01,118.97,114.89,117.16,121.99,127.67,130.3
S2,2030-12-01,119.42,115.25,117.51,122.6,128.09,131.98
S2,2031-01-01,119.86,115.44,117.9,122.72,129.1,132.36
S2,2031-02-01,120.31,115.84,118.45,123.49,129.66,132.72
S2,2031-03-01,120.76,116.25,118.69,124.21,129.93,134.14
S2,2031-04-01,121.22,117.13,119.17,124.52,130.35,134.21
S2,2031-05-01,121.67,117.53,119.64,125.12,130.73,134.81
S2,2031-06-01,122.13,117.63,120.12,125.62,131.93,135.71
S2,2031-07-01,122.59,118.32,120.53,126.29,132.39,137.08
S2,2031-08-01,123.05,118.35,121.03,126.79,132.78,137.35
S2,2031-09-01,123.52,118.99,121.35,127.14,133.06,138.05
S2,2031-10-01,123.99,119.53,121.69,127.69,133.99,139.02
S2,2031-11-01,124.45,119.74,122.53,128.32,134.57,139.95
S2,2031-12-01,124.93,120.2,122.95,129.1,134.96,140.23
S2,2032-01-01,125.41,120.65,122.94,129.42,135.89,140.79
S2,2032-02-01,125.88,120.98,123.96,129.83,136.34,140.63
S2,2032-03-01,126.37,121.14,124.55,130.35,136.81,141.3
S2,2032-04-01,126.85,121.74,124.51,131.02,137.32,142.74
S2,2032-05-01,127.33,122.27,125.39,131.29,137.87,143.38
S2,2032-06-01,127.83,123.18,125.95,131.86,138.53,143.56
S2,2032-07-01,128.32,123.76,126.12,132.65,138.81,144.96
S2,2032-08-01,128.81,124.16,126.68,133.1,139.7,146.09
S2,2032-09-01,129.31,124.57,127.68,133.54,140.04,145.85
S2,2032-10-01,129.81,124.72,128.11,134.11,141.1,146.4
S2,2032-11-01,130.32,125.24,128.23,134.77,141.67,147.9
S2,2032-12-01,130.82,126.07,129.02,135.13,142.66,148.26
S2,2033-01-01,131.33,126.54,129.09,135.84,142.87,149.17
S2,2033-02-01,131.84,127.06,129.95,136.39,143.63,149.48
S2,2033-03-01,132.36,127.27,130.45,136.86,144.57,150.77
S2,2033-04-01,132.88,127.54,130.79,137.45,145.31,151.19
S2,2033-05-01,133.4,128.76,131.37,138.15,146.19,152.17
S2,2033-06-01,133.92,129.06,132.17,138.88,146.52,153.44
S2,2033-07-01,134.45,129.23,132.43,139.2,147.05,153.12
S2,2033-08-01,134.98,129.95,132.77,140.16,147.71,154.22
S2,2033-09-01,135.51,130.08,133.41,140.93,147.95,155.2
S2,2033-10-01,136.05,130.65,134.04,141.33,149.08,156.38
S2,2033-11-01,136.59,130.99,134.51,142.07,150.22,156.74
S2,2033-12-01,137.13,132.2,135.2,142.44,151.12,158.12
S2,2034-01-01,137.68,132.37,135.5,143.15,152.39,159.14
S2,2034-02-01,138.23,132.55,135.77,143.78,153.18,160.1
S2,2034-03-01,138.78,132.85,136.69,144.55,153.54,159.68
S2,2034-04-01,139.33,133.05,137.31,145.19,154.23,161.41
S2,2034-05-01,139.89,133.83,137.73,145.66,155.54,162.83
S2,2034-06-01,140.45,134.04,138.23,146.19,156.51,163.69
S2,2034-07-01,141.02,133.99,138.78,146.99,156.77,163.92
S2,2034-08-01,141.59,135.52,139.44,147.33,157.91,165.03
S2,2034-09-01,142.16,135.71,139.83,148.08,158.58,165.72
S2,2034-10-01,142.74,136.09,140.36,149.03,159.07,167.1
S2,2034-11-01,143.31,136.87,141.34,149.52,160.65,167.31
S2,2034-12-01,143.9,137.63,142.02,150.08,160.95,169.67
S2,2035-01-01,144.48,137.63,142.08,150.92,161.77,169.71
S2,2035-02-01,145.07,138.55,142.86,152.03,162.36,170.9
S2,2035-03-01,145.66,139.16,143.35,152.77,163.04,171.99
S2,2035-04-01,146.26,139.13,144.02,153.12,164.12,172.81
S2,2035-05-01,146.86,139.69,144.8,154.07,164.93,173.51
S2,2035-06-01,147.46,139.99,145.63,154.58,165.54,174.36
S2,2035-07-01,148.07,140.48,146.12,155.15,166.47,175.72
S2,2035-08-01,148.68,141.39,147.53,156.22,167.2,176.62
S2,2035-09-01,149.29,142.4,146.81,157.19,168.19,177.97
S2,2035-10-01,149.91,142.86,147.54,157.27,168.89,178.27
S2,2035-11-01,150.53,143.18,148.07,158.0,170.1,179.39
S2,2035-12-01,151.16,143.64,148.85,158.68,170.89,180.97
S3,2026-01-01,97.39,96.69,96.92,97.46,97.94,98.32
S3,2026-02-01,97.09,96.01,96.44,97.11,97.84,98.31
S3,2026-03-01,98.47,97.22,97.6,98.52,99.54,100.11
S3,2026-04-01,98.39,97.05,97.52,98.51,99.46,99.99
S3,2026-05-01,98.95,97.41,97.99,99.07,100.16,100.84
S3,2026-06-01,99.72,98.12,98.7,99.85,101.1,101.95
S3,2026-07-01,99.72,98.0,98.61,99.84,101.26,102.0
S3,2026-08-01,99.66,97.78,98.64,99.85,101.33,102.05
S3,2026-09-01,100.43,98.38,99.21,100.64,102.17,103.06
S3,2026-10-01,100.56,98.61,99.38,100.82,102.27,103.43
S3,2026-11-01,100.74,98.67,99.56,101.03,102.72,103.61
S3,2026-12-01,101.62,99.42,100.42,102.06,103.62,104.82
S3,2027-01-01,101.66,99.36,100.52,102.19,103.77,104.93
S3,2027-02-01,101.78,99.48,100.49,102.17,104.08,105.13
S3,2027-03-01,102.45,99.94,101.04,102.89,104.86,105.99
S3,2027-04-01,102.72,100.11,101.33,103.18,105.3,106.47
S3,2027-05-01,103.04,100.45,101.51,103.71,105.66,106.8
S3,2027-06-01,103.61,100.86,102.15,104.13,106.26,107.84
S3,2027-07-01,103.81,101.24,102.31,104.51,106.78,108.11
S3,2027-08-01,104.02,101.51,102.62,104.73,107.04,108.42
S3,2027-09-01,104.56,102.13,103.02,105.25,107.75,109.36
S3,2027-10-01,104.89,102.28,103.22,105.67,108.14,109.44
S3,2027-11-01,105.19,102.35,103.73,106.14,108.63,110.18
S3,2027-12-01,105.7,102.94,104.11,106.76,109.24,110.87
S3,2028-01-01,105.98,103.31,104.42,107.08,109.55,111.39
S3,2028-02-01,106.27,103.5,104.68,107.29,109.94,111.52
S3,2028-03-01,106.77,103.77,105.05,107.77,110.57,112.04
S3,2028-04-01,107.13,104.14,105.34,108.35,111.12,112.51
