date,ind_id,logva,va_level,va_growth
2006-05-01,MIN2,4.229294584707838,68.66877508063267,2.138137073746016
2006-06-01,MIN2,4.166238721679619,64.47249647869607,-6.305586302821897
2006-07-01,MIN2,4.208668804883944,67.2669347674168,4.243008320432473
2006-08-01,MIN2,4.258806103548879,70.72549411212528,5.013729866493488
2006-09-01,MIN2,4.357391622708005,78.05327627578089,9.858551915912628
2006-10-01,MIN2,4.302867340688991,73.91141937330086,-5.452428201901416
2006-11-01,MIN2,4.336153669823507,76.41306350366452,3.3286329134516457
2006-12-01,MIN2,4.454818574994755,86.04053952370481,11.866490517124806
2007-01-01,MIN2,4.403210938662786,81.71282274245468,-5.160763633196908
2007-02-01,MIN2,4.2514700977189825,70.20854994606688,-15.174084094380369
2007-03-01,MIN2,4.586565933702129,98.1567738576929,33.50958359831466
2007-04-01,MIN2,4.509148416873749,90.84442398269205,-7.741751682838061
2007-05-01,MIN2,4.574549894583915,96.98437611822344,6.540147771016613
2007-06-01,MIN2,4.725788832817931,112.81945897367552,15.123893823401602
2007-07-01,MIN2,4.871609082677569,130.53078282689734,14.582024985963837
2007-08-01,MIN2,4.812118712665711,122.99192621207068,-5.949037001185786
2007-09-01,MIN2,4.765481813051509,117.3876625725003,-4.663689961420214
2007-10-01,MIN2,4.88632784892341,132.46624376403824,12.084603587190124
2007-11-01,MIN2,4.7319858904357,113.52077847559502,-15.434195848771015
2007-12-01,MIN2,4.7361513120869425,113.99462658758137,0.41654216512423403
2008-01-01,MIN2,4.6752140207911985,107.25551954695945,-6.093729129574399
2008-02-01,MIN2,4.614148943943982,100.9019187916122,-6.106507684721674
2008-03-01,MIN2,4.918840627697172,136.84386819138214,30.46916837531901
2008-04-01,MIN2,4.962791106425205,142.99234629646716,4.395047872803293
2008-05-01,MIN2,5.078314839346369,160.50335396763936,11.552373292116425
2008-06-01,MIN2,4.935542358353288,139.14859047070922,-14.277248099308082
2008-07-01,MIN2,4.948715777586371,140.99378023354325,1.3173419233083017
2008-08-01,MIN2,4.688848785205728,108.72793852006139,-25.986699238064315
2008-09-01,MIN2,4.710804981829282,111.14159086684593,2.195619662355419
2008-10-01,MIN2,4.6304398587358895,102.55916573558873,-8.036512309339283
2008-11-01,MIN2,4.39601564966967,81.12698552990686,-23.44242090662192
2008-12-01,MIN2,4.360092509737215,78.26437430489955,-3.592313993245533
2009-01-01,MIN2,4.140566639652307,62.83841810239669,-21.95258700849081
2009-02-01,MIN2,3.906610612511544,49.73011138462765,-23.395602714076304
2009-03-01,MIN2,4.1115996841030595,61.044291087447206,20.49890715915157
2009-04-01,MIN2,4.3994961084318245,81.4098365977518,28.789642432876494
2009-05-01,MIN2,4.4759332523193045,87.87657316889383,7.643714388748002
2009-06-01,MIN2,4.572409152122075,96.77697961658524,9.647589980277083
2009-07-01,MIN2,4.475562585094877,87.84400623954461,-9.684656702719874
2009-08-01,MIN2,4.462432809709749,86.69817289679833,-1.3129775385127829
2009-09-01,MIN2,4.274599185637865,71.85133449054972,-18.783362407188342
2009-10-01,MIN2,4.133650428020343,62.40531375128234,-14.094875761752235
2009-11-01,MIN2,4.256667931482939,70.574432391792,12.301750346259599
2009-12-01,MIN2,4.47095746132525,87.44040375136936,21.42895298423113
2010-01-01,MIN2,4.1976978248301196,66.5329840090253,-27.325963649513074
2010-02-01,MIN2,4.20817170449198,67.23350465752651,1.0473879661860863
2010-03-01,MIN2,4.545243488024535,94.18335693726115,33.70717835325543
2010-04-01,MIN2,4.62779524641608,102.28829483450808,8.25517583915456
2010-05-01,MIN2,4.7606060488229005,116.81670107439902,13.28108024068202
2010-06-01,MIN2,4.998397665161536,148.17554194922133,23.779161633863577
2010-07-01,MIN2,4.990574199290204,147.020818513232,-0.7823465871331869
2010-08-01,MIN2,4.94977318018902,141.14294627410067,-4.080101910118472
2010-09-01,MIN2,4.831779172915464,125.43393089717266,-11.799400727355547
2010-10-01,MIN2,4.79387105408441,120.76796429353611,-3.790811883105416
2010-11-01,MIN2,4.842288960041394,126.75916658345886,4.841790595698381
2010-12-01,MIN2,4.81169718255296,122.94009233708411,-3.059177748843389
2011-01-01,MIN2,4.82847725863085,125.02044183736132,1.678007607789045
2011-02-01,MIN2,4.659898225051241,105.625331596889,-16.857903357960957
2011-03-01,MIN2,5.051264865177626,156.21993673020592,39.13666401263853
2011-04-01,MIN2,4.8989824335206125,134.15320040763592,-15.228243165701372
2011-05-01,MIN2,4.855040834008445,128.38593361998284,-4.394159951216725
2011-06-01,MIN2,4.851892535119367,127.98237192754247,-0.3148298889078305
2011-07-01,MIN2,4.882931188670261,132.01706422596254,3.103865355089397
2011-08-01,MIN2,4.828043298301013,124.96619969550532,-5.488789036924757
2011-09-01,MIN2,4.838105050986526,126.22992567854408,1.006175268551246
2011-10-01,MIN2,4.715384959367052,111.6517843019383,-12.272009161947395
2011-11-01,MIN2,4.7432625875640495,114.80816299250733,2.7877628196997684
2011-12-01,MIN2,4.822997999327343,124.3372956948568,7.973541176329313
2012-01-01,MIN2,4.693352520501852,109.21872473046137,-12.964547882549038
2012-02-01,MIN2,4.845267667426287,127.13730795571854,15.191514692443508
2012-03-01,MIN2,4.8629916237248985,129.4107719188879,1.772395629861112
